HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs
HGNC:20298	GPALPP1	GPALPP motifs containing 1	Approved	KIAA1704	bA245H20.2, AD029, LSR7	13q14.12	AB051491	NM_018559
HGNC:4453	GPC5	glypican 5	Approved			13q31.3	AF001462	NM_004466
HGNC:39886	GPC5-AS1	GPC5 antisense RNA 1	Approved			13q31.3		
HGNC:39887	GPC5-AS2	GPC5 antisense RNA 2	Approved			13q31.3		
HGNC:41340	GPC5-IT1	GPC5 intronic transcript 1	Approved			13q31.3		
HGNC:4454	GPC6	glypican 6	Approved			13q31.3-q32.1	AF111178	NM_005708
HGNC:39909	GPC6-AS1	GPC6 antisense RNA 1	Approved			13q31.3		
HGNC:39910	GPC6-AS2	GPC6 antisense RNA 2	Approved			13q31.3		
HGNC:4466	GPR12	G protein-coupled receptor 12	Approved		GPCR21, PPP1R84	13q12.13	U18548	
HGNC:4472	GPR18	G protein-coupled receptor 18	Approved			13q32.3	L42324	
HGNC:28899	GPR180	G protein-coupled receptor 180	Approved		ITR	13q32.1	AF339823	NM_180989
HGNC:3128	GPR183	G protein-coupled receptor 183	Approved	EBI2		13q32.3	L08177	NM_004951
HGNC:10013	GRK1	G protein-coupled receptor kinase 1	Approved	RHOK	GPRK1, RK	13q34		NM_002929
HGNC:4547	GRK6P1	G protein-coupled receptor kinase 6 pseudogene 1	Approved	GPRK6L, GPRK6P, GRK6PS		13q12.11	U48958	
HGNC:41969	GRPEL2P1	GrpE like 2, mitochondrial pseudogene 1	Approved			13q31.2		
HGNC:20310	GRTP1	growth hormone regulated TBC protein 1	Approved		FLJ22474, TBC1D6	13q34	AK026127	NM_024719
HGNC:39917	GRTP1-AS1	GRTP1 antisense RNA 1	Approved			13q34		
HGNC:20374	GSX1	GS homeobox 1	Approved	GSH1	Gsh-1	13q12.2	AB044157	NM_145657
HGNC:4653	GTF2F2	general transcription factor IIF subunit 2	Approved		TFIIF, BTF4, RAP30	13q14.12-q14.13	X16901	NM_004128
HGNC:42640	GTF2IP3	general transcription factor IIi pseudogene 3	Approved			13q12.11		NG_023043
HGNC:4662	GTF3A	general transcription factor IIIA	Approved		TFIIIA, AP2	13q12.2		NM_002097
HGNC:4686	GUCY1B2	guanylate cyclase 1 soluble subunit beta 2 (pseudogene)	Approved		GC-SB2	13q14.3	AF038499	
HGNC:39676	GXYLT1P1	glucoside xylosyltransferase 1 pseudogene 1	Approved			13q11		
HGNC:39710	GYG1P2	glycogenin 1 pseudogene 2	Approved			13q31.1		
HGNC:38013	H2AFZP3	H2A histone family member Z pseudogene 3	Approved			13q32.3		NG_011430
HGNC:42030	H3F3BP1	H3 histone, family 3B pseudogene 1	Approved			13q21.33		
HGNC:39815	HCFC2P1	host cell factor C2 pseudogene 1	Approved			13q33.3		
HGNC:42642	HIGD1AP2	HIG1 hypoxia inducible domain family member 1A pseudogene 2	Approved			13q31.1		
HGNC:42647	HIST1H2APS6	histone cluster 1 H2A pseudogene 6	Approved			13q13.3		NG_029174
HGNC:42633	HIST1H2BPS3	histone cluster 1 H2B pseudogene 3	Approved			13q12.11		NG_030513
HGNC:19121	HMGA1P6	high mobility group AT-hook 1 pseudogene 6	Approved	HMGA1L6		13q12.12		
HGNC:4983	HMGB1	high mobility group box 1	Approved	HMG1	HMG3, SBP-1, DKFZp686A04236	13q12.3	D63874	NM_002128
HGNC:39104	HMGB3P4	high mobility group box 3 pseudogene 4	Approved			13q32.3		
HGNC:39299	HMGB3P7	high mobility group box 3 pseudogene 7	Approved			13q33.1		NG_024948
HGNC:39368	HMGN1P24	high mobility group nucleosome binding domain 1 pseudogene 24	Approved			13q32.1		
HGNC:39410	HMGN2P39	high mobility group nucleosomal binding domain 2 pseudogene 39	Approved			13q21.1		
HGNC:35417	HNF4GP1	hepatocyte nuclear factor 4 gamma pseudogene 1	Approved			13q21.1		
HGNC:27067	HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1-like 2	Approved		LOC144983	13q14.3		NM_001011724
HGNC:39445	HNRNPA1P18	heterogeneous nuclear ribonucleoprotein A1 pseudogene 18	Approved			13q21.33		
HGNC:39547	HNRNPA1P29	heterogeneous nuclear ribonucleoprotein A1 pseudogene 29	Approved			13q31.3		
HGNC:39548	HNRNPA1P30	heterogeneous nuclear ribonucleoprotein A1 pseudogene 30	Approved			13q12.11		
HGNC:39549	HNRNPA1P31	heterogeneous nuclear ribonucleoprotein A1 pseudogene 31	Approved			13q31.1		
HGNC:39774	HNRNPA3P5	heterogeneous nuclear ribonucleoprotein A3 pseudogene 5	Approved			13q21.32		
HGNC:19134	HS6ST3	heparan sulfate 6-O-sulfotransferase 3	Approved			13q32.1	AF539426	NM_153456
HGNC:32540	HSP90AB6P	heat shock protein 90 alpha family class B member 6, pseudogene	Approved			13q32.1	AY956767	
HGNC:39806	HSPA8P2	heat shock protein family A (Hsp70) member 8 pseudogene 2	Approved			13q31.3		NG_024873
HGNC:35145	HSPD1P8	heat shock protein family D (Hsp60) member 1 pseudogene 8	Approved		HSPD1-12P	13q31.1		
HGNC:35132	HSPD1P9	heat shock protein family D (Hsp60) member 1 pseudogene 9	Approved		HSPD1-14P	13q13.3		
HGNC:16969	HSPH1	heat shock protein family H (Hsp110) member 1	Approved		HSP105B, KIAA0201, HSP105A, NY-CO-25	13q12.3	AB003333	
HGNC:5293	HTR2A	5-hydroxytryptamine receptor 2A	Approved	HTR2	5-HT2A	13q14.2	X57830	NM_000621
HGNC:40289	HTR2A-AS1	HTR2A antisense RNA 1	Approved			13q14.2		
HGNC:5408	IFIT1P1	interferon induced protein with tetratricopeptide repeats 1 pseudogene 1	Approved	G13P1, IFI56P, IFIT1P	II56P	13q13.1	AF196987	NG_001215
HGNC:20606	IFT88	intraflagellar transport 88	Approved	TTC10	hTg737, Tg737, D13S1056E, MGC26259	13q12.11	AK058172	NM_006531
HGNC:5984	IL17D	interleukin 17D	Approved		IL-22, IL-27, IL-17D, IL27, FLJ30846	13q12.11	AY078238	NM_138284
HGNC:6062	ING1	inhibitor of growth family member 1	Approved		p33ING1, p33ING1b, p24ING1c, p33, p47, p47ING1a	13q34		NM_005537
HGNC:14879	INTS6	integrator complex subunit 6	Approved	DDX26	DICE1, HDB, Notchl2, DBI-1, DDX26A, INT6	13q14.3	AF097645	NM_012141
HGNC:42691	INTS6-AS1	INTS6 antisense RNA 1	Approved			13q14.3	AA397528	
HGNC:39354	IPMKP1	inositol polyphosphate multikinase pseudogene 1	Approved			13q12.12		NG_011396
HGNC:6402	IPO5	importin 5	Approved	KPNB3, RANBP5	IMB3, MGC2068, Pse1	13q32.2	U72761	NM_002271
HGNC:39838	IPO7P2	importin 7 pseudogene 2	Approved			13q12.12		
HGNC:39390	IPPKP1	inositol 1,3,4,5,6-pentakisphosphate 2-kinase pseudogene 1	Approved			13q12.11		
HGNC:6126	IRS2	insulin receptor substrate 2	Approved			13q34	AB000732	NM_003749
HGNC:33315	IRX1P1	iroquois homeobox 1 pseudogene 1	Approved			13q12.12		NG_009487
HGNC:6164	ITGBL1	integrin subunit beta like 1	Approved		TIED, OSCP	13q33.1	AF072752	NM_004791
HGNC:6174	ITM2B	integral membrane protein 2B	Approved		BRI, E25B, E3-16, BRICD2B, BRI2	13q14.2	AF092128	NM_021999
HGNC:39207	KARSP1	lysyl-tRNA synthetase pseudogene 1	Approved			13q14.11		
HGNC:39208	KARSP2	lysyl-tRNA synthetase pseudogene 2	Approved			13q34		
HGNC:28361	KATNAL1	katanin catalytic subunit A1 like 1	Approved		MGC2599	13q12.3	AK097423	NM_032116
HGNC:39724	KATNBL1P1	katanin regulatory subunit B1 like 1 pseudogene 1	Approved			13q12.2		
HGNC:25340	KBTBD6	kelch repeat and BTB domain containing 6	Approved		DKFZp547E1912	13q14.11	AK056633	NM_152903
HGNC:25266	KBTBD7	kelch repeat and BTB domain containing 7	Approved		DKFZP434E2318	13q14.11	AL136782	NM_032138
HGNC:18893	KCNRG	potassium channel regulator	Approved			13q14.2		
HGNC:23227	KCTD4	potassium channel tetramerization domain containing 4	Approved		bA321C24.3	13q14.12-q14.13	BC018063	
HGNC:14678	KCTD12	potassium channel tetramerization domain containing 12	Approved	C13orf2	KIAA1778, PFET1	13q22.3	AF359381	NM_138444
HGNC:19350	KDELC1	KDEL motif containing 1	Approved		MGC5302, EP58	13q33.1	BC001297	
HGNC:6344	KL	klotho	Approved			13q13.1	AB005142	
HGNC:6349	KLF5	Kruppel like factor 5	Approved	BTEB2	IKLF, CKLF	13q22.1	D14520	
HGNC:6346	KLF12	Kruppel like factor 12	Approved		AP-2rep, HSPC122, AP2REP	13q22.1	AJ243274	NM_007249
HGNC:6352	KLHL1	kelch like family member 1	Approved		KIAA1490, MRP2, FLJ30047	13q21.33	AB040923	NM_020866
HGNC:6396	KPNA3	karyopherin subunit alpha 3	Approved		SRP1gamma, SRP4, hSRP1, IPOA4	13q14.2	D89618	NM_002267
HGNC:39580	KRR1P1	KRR1, small subunit (SSU) processome component, homolog (yeast) pseudogene 1	Approved			13q12.11		
HGNC:33396	KRT18P27	keratin 18 pseudogene 27	Approved			13q31.3		NT_009952
HGNC:49127	L1TD1P1	LINE-1 type transposase domain containing 1 pseudogene 1	Approved			13q33.1		
HGNC:26789	LACC1	laccase domain containing 1	Approved	C13orf31	FLJ38725, FAMIN	13q14.11	AK096044	NM_153218
HGNC:6499	LAMP1	lysosomal associated membrane protein 1	Approved		CD107a	13q34	J03263	
HGNC:39726	LAMTOR3P1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3 pseudogene 1	Approved			13q13.3		
HGNC:6515	LATS2	large tumor suppressor kinase 2	Approved			13q12.11	AB028019	
HGNC:39912	LATS2-AS1	LATS2 antisense RNA 1	Approved			13q12.11		
HGNC:6528	LCP1	lymphocyte cytosolic protein 1	Approved		PLS2, CP64, L-PLASTIN, LC64P	13q14.13	M22300	NM_002298
HGNC:6542	LDHBP1	lactate dehydrogenase B pseudogene 1	Approved	LDHBL1		13q34		NG_021974
HGNC:23079	LGMNP1	legumain pseudogene 1	Approved	LGMN2P		13q21.31		NG_001534
HGNC:6586	LHFP	lipoma HMGIC fusion partner	Approved		MGC22429	13q13.3-q14.11	AF098807	NM_005780
HGNC:6601	LIG4	DNA ligase 4	Approved			13q33.3	X83441	NM_002312
HGNC:38056	LIN28AP2	LIN28A pseudogene 2	Approved			13q31.2		
HGNC:26737	LINC00282	long intergenic non-protein coding RNA 282	Approved	NCRNA00282	FLJ37307	13q14.3	AK094626	NR_027047
HGNC:38809	LINC00283	long intergenic non-protein coding RNA 283	Approved	NCRNA00283		13q33.1		
HGNC:26981	LINC00284	long intergenic non-protein coding RNA 284	Approved	NCRNA00284		13q14.11	AK001938	NR_026955
HGNC:39210	LINC00297	long intergenic non-protein coding RNA 297	Approved	NCRNA00297		13q12.3		
HGNC:42009	LINC00327	long intergenic non-protein coding RNA 327	Approved	NCRNA00327		13q12.12		
HGNC:42027	LINC00328-2P	long intergenic non-protein coding RNA 328-2, pseudogene	Approved	NCRNA00328B, NCRNA00328-2P		13q11		
HGNC:42047	LINC00330	long intergenic non-protein coding RNA 330	Approved	NCRNA00330		13q14.12	AK056732	
HGNC:42048	LINC00331	long intergenic non-protein coding RNA 331	Approved	NCRNA00331		13q31.1		
HGNC:42049	LINC00332	long intergenic non-protein coding RNA 332	Approved	NCRNA00332		13q14.11		
HGNC:42050	LINC00333	long intergenic non-protein coding RNA 333	Approved	NCRNA00333		13q31.1		
HGNC:42500	LINC00343	long intergenic non-protein coding RNA 343	Approved	NCRNA00343, LINC00344, NCRNA00344		13q33.2		
HGNC:42503	LINC00345	long intergenic non-protein coding RNA 345	Approved			13q14.3		
HGNC:27492	LINC00346	long intergenic non-protein coding RNA 346	Approved	C13orf29, NCRNA00346		13q34		NR_027701
HGNC:27890	LINC00347	long intergenic non-protein coding RNA 347	Approved			13q22.1		
HGNC:42658	LINC00348	long intergenic non-protein coding RNA 348	Approved			13q21.33		
HGNC:42667	LINC00349	long intergenic non-protein coding RNA 349	Approved			13q11		
HGNC:42668	LINC00350	long intergenic non-protein coding RNA 350	Approved			13q12.11		
HGNC:42669	LINC00351	long intergenic non-protein coding RNA 351	Approved			13q31.1		
HGNC:42670	LINC00352	long intergenic non-protein coding RNA 352	Approved			13q12.12		
HGNC:42671	LINC00353	long intergenic non-protein coding RNA 353	Approved			13q31.3		
HGNC:42672	LINC00354	long intergenic non-protein coding RNA 354	Approved			13q34		
HGNC:27061	LINC00355	long intergenic non-protein coding RNA 355	Approved			13q21.31		
HGNC:42678	LINC00358	long intergenic non-protein coding RNA 358	Approved			13q21.31		
HGNC:42679	LINC00359	long intergenic non-protein coding RNA 359	Approved			13q32.1		
HGNC:42682	LINC00362	long intergenic non-protein coding RNA 362	Approved			13q12.12		
HGNC:42684	LINC00363	long intergenic non-protein coding RNA 363	Approved		TCONS_00021586	13q31.3	AA885151	
HGNC:42686	LINC00364	long intergenic non-protein coding RNA 364	Approved			13q21.32		
HGNC:42687	LINC00365	long intergenic non-protein coding RNA 365	Approved			13q12.3		NR_046998
HGNC:42688	LINC00366	long intergenic non-protein coding RNA 366	Approved			13q13.3		
HGNC:42689	LINC00367	long intergenic non-protein coding RNA 367	Approved		TCONS_l2_00007488	13q12.11	BG723634	NR_104058
HGNC:42690	LINC00368	long intergenic non-protein coding RNA 368	Approved			13q34	BG720241	
HGNC:42692	LINC00370	long intergenic non-protein coding RNA 370	Approved			13q33.3	BF695150	
HGNC:42693	LINC00371	long intergenic non-protein coding RNA 371	Approved			13q14.3		
HGNC:42698	LINC00374	long intergenic non-protein coding RNA 374	Approved			13q21.1	BG190276	
HGNC:42699	LINC00375	long intergenic non-protein coding RNA 375	Approved			13q31.1	AW510855	
HGNC:42701	LINC00376	long intergenic non-protein coding RNA 376	Approved			13q21.31	AA759092	
HGNC:42703	LINC00377	long intergenic non-protein coding RNA 377	Approved		TCONS_00021861	13q31.1	BG185523	
HGNC:42704	LINC00378	long intergenic non-protein coding RNA 378	Approved			13q21.2		
HGNC:42705	LINC00379	long intergenic non-protein coding RNA 379	Approved			13q31.3		
HGNC:42706	LINC00380	long intergenic non-protein coding RNA 380	Approved		TCONS_00021685	13q31.3	AA609658	
HGNC:42708	LINC00381	long intergenic non-protein coding RNA 381	Approved			13q22.1		
HGNC:42709	LINC00382	long intergenic non-protein coding RNA 382	Approved		TCONS_00021500	13q31.1	BG717866	
HGNC:42710	LINC00383	long intergenic non-protein coding RNA 383	Approved	LINC00401		13q21.33	BG527271, BM557184	NR_125752
HGNC:42711	LINC00384	long intergenic non-protein coding RNA 384	Approved			13q12.3	BX648491	
HGNC:42713	LINC00385	long intergenic non-protein coding RNA 385	Approved			13q12.3	AI203837	
HGNC:42715	LINC00387	long intergenic non-protein coding RNA 387	Approved			13q11		
HGNC:42716	LINC00388	long intergenic non-protein coding RNA 388	Approved			13q11		
HGNC:42718	LINC00390	long intergenic non-protein coding RNA 390	Approved		TCONS_00021641	13q14.11	AW779259	
HGNC:42719	LINC00391	long intergenic non-protein coding RNA 391	Approved			13q32.1		
HGNC:42720	LINC00392	long intergenic non-protein coding RNA 392	Approved			13q22.1		
HGNC:42721	LINC00393	long intergenic non-protein coding RNA 393	Approved			13q22.1		
HGNC:42723	LINC00395	long intergenic non-protein coding RNA 395	Approved			13q21.31		
HGNC:42724	LINC00396	long intergenic non-protein coding RNA 396	Approved			13q34	AA927226	
HGNC:42725	LINC00397	long intergenic non-protein coding RNA 397	Approved		TCONS_00021582	13q31.2	AI286230	
HGNC:42727	LINC00398	long intergenic non-protein coding RNA 398	Approved			13q12.3		
HGNC:42728	LINC00399	long intergenic non-protein coding RNA 399	Approved		TCONS_00021596	13q33.3	BX111569, AI023810	
HGNC:42729	LINC00400	long intergenic non-protein coding RNA 400	Approved			13q14.11		
HGNC:42732	LINC00402	long intergenic non-protein coding RNA 402	Approved			13q22.1		
HGNC:42733	LINC00403	long intergenic non-protein coding RNA 403	Approved			13q34		
HGNC:42734	LINC00404	long intergenic non-protein coding RNA 404	Approved			13q34		
HGNC:42739	LINC00407	long intergenic non-protein coding RNA 407	Approved			13q14.12	BG959100	
HGNC:42740	LINC00408	long intergenic non-protein coding RNA 408	Approved			13q12.11	BG722014	
HGNC:42742	LINC00410	long intergenic non-protein coding RNA 410	Approved			13q31.3		
HGNC:42744	LINC00411	long intergenic non-protein coding RNA 411	Approved			13q32.3		
HGNC:42745	LINC00412	long intergenic non-protein coding RNA 412	Approved			13q12.2	AI051530	
HGNC:42748	LINC00415	long intergenic non-protein coding RNA 415	Approved			13q12.13		
HGNC:42755	LINC00421	long intergenic non-protein coding RNA 421	Approved			13q12.11		
HGNC:42758	LINC00423	long intergenic non-protein coding RNA 423	Approved			13q13.1		
HGNC:42815	LINC00424	long intergenic non-protein coding RNA 424	Approved			13q12.11		
HGNC:42761	LINC00426	long intergenic non-protein coding RNA 426	Approved			13q12.3		
HGNC:42762	LINC00427	long intergenic non-protein coding RNA 427	Approved			13q12.3		
HGNC:42763	LINC00428	long intergenic non-protein coding RNA 428	Approved			13q14.11	AA206719	
HGNC:42765	LINC00430	long intergenic non-protein coding RNA 430	Approved		TCONS_00021581	13q31.1	AW661815	
HGNC:42766	LINC00431	long intergenic non-protein coding RNA 431	Approved			13q34	BG181389	
HGNC:42768	LINC00433	long intergenic non-protein coding RNA 433	Approved			13q31.2		
HGNC:42769	LINC00434	long intergenic non-protein coding RNA 434	Approved			13q21.2		
HGNC:42772	LINC00437	long intergenic non-protein coding RNA 437	Approved		TCONS_00021639	13q13.3	BM927018	
HGNC:42777	LINC00440	long intergenic non-protein coding RNA 440	Approved			13q31.2		
HGNC:42778	LINC00441	long intergenic non-protein coding RNA 441	Approved		ncRNA-RB1	13q14.2		NR_046414
HGNC:42779	LINC00442	long intergenic non-protein coding RNA 442	Approved			13q12.11		
HGNC:42780	LINC00443	long intergenic non-protein coding RNA 443	Approved			13q33.3		
HGNC:42781	LINC00444	long intergenic non-protein coding RNA 444	Approved			13q14.2		
HGNC:42782	LINC00445	long intergenic non-protein coding RNA 445	Approved			13q13.3		
HGNC:42783	LINC00446	long intergenic non-protein coding RNA 446	Approved			13q22.3		
HGNC:42785	LINC00448	long intergenic non-protein coding RNA 448	Approved			13q21.31		
HGNC:42786	LINC00449	long intergenic non-protein coding RNA 449	Approved			13q32.3		
HGNC:42800	LINC00452	long intergenic non-protein coding RNA 452	Approved	LINC00453		13q34		
HGNC:42802	LINC00454	long intergenic non-protein coding RNA 454	Approved			13q34		
HGNC:42804	LINC00456	long intergenic non-protein coding RNA 456	Approved			13q32.1	BG623605	
HGNC:42805	LINC00457	long intergenic non-protein coding RNA 457	Approved			13q13.2		
HGNC:42807	LINC00458	long intergenic non-protein coding RNA 458	Approved		LncRNA-ES3	13q14.3	BC026300	
HGNC:42808	LINC00459	long intergenic non-protein coding RNA 459	Approved			13q21.31		
HGNC:42809	LINC00460	long intergenic non-protein coding RNA 460	Approved			13q33.2		NR_034119
HGNC:42811	LINC00462	long intergenic non-protein coding RNA 462	Approved			13q14.2		
HGNC:42813	LINC00463	long intergenic non-protein coding RNA 463	Approved	AMER2-AS1	TCONS_l2_00007499	13q12.13	BM666193	
HGNC:43672	LINC00539	long intergenic non-protein coding RNA 539	Approved	LINC00422		13q12.11	BG940872	
HGNC:43673	LINC00540	long intergenic non-protein coding RNA 540	Approved			13q12.11	AK054845, BC035104	
HGNC:43678	LINC00543	long intergenic non-protein coding RNA 543	Approved			13q12.2	CB142335, AI262987	NR_135254
HGNC:43679	LINC00544	long intergenic non-protein coding RNA 544	Approved			13q12.3		NR_033889
HGNC:43680	LINC00545	long intergenic non-protein coding RNA 545	Approved			13q12.3	AW971998, AA514237	
HGNC:43682	LINC00547	long intergenic non-protein coding RNA 547	Approved		FLJ34747	13q13.3	AK092066	NR_040244
HGNC:43683	LINC00548	long intergenic non-protein coding RNA 548	Approved		FLJ42392	13q14.11	AK124383	NR_033877
HGNC:43688	LINC00550	long intergenic non-protein coding RNA 550	Approved			13q21.33	BC042673	NR_038878
HGNC:43691	LINC00551	long intergenic non-protein coding RNA 551	Approved			13q33.3	AK098538	NR_051977
HGNC:43692	LINC00552	long intergenic non-protein coding RNA 552	Approved			13q34	AK057435	NR_028064
HGNC:43697	LINC00554	long intergenic non-protein coding RNA 554	Approved			13q32.3	BC068276	NR_047483
HGNC:43699	LINC00555	long intergenic non-protein coding RNA 555	Approved			13q33.1	AF339825	
HGNC:43700	LINC00556	long intergenic non-protein coding RNA 556	Approved			13q12.11	AF086361	
HGNC:43701	LINC00557	long intergenic non-protein coding RNA 557	Approved			13q32.1	AF339811	NR_047487
HGNC:43702	LINC00558	long intergenic non-protein coding RNA 558	Approved			13q14.3	BC041877	
HGNC:43703	LINC00559	long intergenic non-protein coding RNA 559	Approved			13q31.3	BC043442	
HGNC:43704	LINC00560	long intergenic non-protein coding RNA 560	Approved			13q31.2	BC043278	NR_047490
HGNC:43705	LINC00561	long intergenic non-protein coding RNA 561	Approved			13q22.2	BC034981	
HGNC:43706	LINC00562	long intergenic non-protein coding RNA 562	Approved			13q14.2	AK123146	NR_047492
HGNC:43707	LINC00563	long intergenic non-protein coding RNA 563	Approved			13q14.13	U79295	
HGNC:43708	LINC00564	long intergenic non-protein coding RNA 564	Approved			13q31.1	BC039360	NR_047494
HGNC:43709	LINC00565	long intergenic non-protein coding RNA 565	Approved			13q34	AK092053	NR_047495
HGNC:43710	LINC00566	long intergenic non-protein coding RNA 566	Approved			13q12.12	BC038727	NR_131903
HGNC:43711	LINC00567	long intergenic non-protein coding RNA 567	Approved			13q34	BC035264	NR_135280
HGNC:43721	LINC00571	long intergenic non-protein coding RNA 571	Approved			13q13.3	BM023585, BF887755	
HGNC:43722	LINC00572	long intergenic non-protein coding RNA 572	Approved			13q12.3	BC039674	
HGNC:42770	LINC00598	long intergenic non-protein coding RNA 598	Approved		TTL	13q14.11		NR_024505
HGNC:44227	LINC00621	long intergenic non-protein coding RNA 621	Approved			13q12.12	AK091626	
HGNC:44394	LINC00676	long intergenic non-protein coding RNA 676	Approved			13q34	AW816149	
HGNC:49021	LINC01034	long intergenic non-protein coding RNA 1034	Approved		TCONS_00021570	13q22.2	BG183202	
HGNC:49026	LINC01038	long intergenic non-protein coding RNA 1038	Approved			13q31.1	AI799053	
HGNC:49027	LINC01039	long intergenic non-protein coding RNA 1039	Approved			13q32.3	BI464824	
HGNC:49028	LINC01040	long intergenic non-protein coding RNA 1040	Approved		TCONS_00021682	13q31.3	BG192883	
HGNC:49031	LINC01043	long intergenic non-protein coding RNA 1043	Approved			13q34	BX649107	
HGNC:49032	LINC01044	long intergenic non-protein coding RNA 1044	Approved			13q34	BG722997	
HGNC:49040	LINC01046	long intergenic non-protein coding RNA 1046	Approved			13q12.11	AW117237	
HGNC:49041	LINC01047	long intergenic non-protein coding RNA 1047	Approved			13q31.2	BG183515	
HGNC:49042	LINC01048	long intergenic non-protein coding RNA 1048	Approved			13q13.3	BX091314	
HGNC:49043	LINC01049	long intergenic non-protein coding RNA 1049	Approved			13q31.3	BI825411	
HGNC:49044	LINC01050	long intergenic non-protein coding RNA 1050	Approved			13q14.11	CD367180	
HGNC:49046	LINC01052	long intergenic non-protein coding RNA 1052	Approved			13q21.32	AA889679	
HGNC:49047	LINC01053	long intergenic non-protein coding RNA 1053	Approved			13q12.13		
HGNC:49048	LINC01054	long intergenic non-protein coding RNA 1054	Approved			13q34	BG460330	
HGNC:49049	LINC01055	long intergenic non-protein coding RNA 1055	Approved			13q14.13	BG431110	
HGNC:49061	LINC01058	long intergenic non-protein coding RNA 1058	Approved			13q12.3	CF138692	
HGNC:49103	LINC01065	long intergenic non-protein coding RNA 1065	Approved			13q14.3	AW303400	
HGNC:49104	LINC01066	long intergenic non-protein coding RNA 1066	Approved			13q12.3	AA644401	
HGNC:49105	LINC01067	long intergenic non-protein coding RNA 1067	Approved			13q33.3	BF969615	
HGNC:49106	LINC01068	long intergenic non-protein coding RNA 1068	Approved			13q31.1	AI138787	
HGNC:49109	LINC01069	long intergenic non-protein coding RNA 1069	Approved			13q22.3	BI825933	
HGNC:49110	LINC01070	long intergenic non-protein coding RNA 1070	Approved			13q34	CR627049	
HGNC:49112	LINC01072	long intergenic non-protein coding RNA 1072	Approved			13q12.11	AI150015	
HGNC:49114	LINC01073	long intergenic non-protein coding RNA 1073	Approved			13q13.1	DR731308	
HGNC:49117	LINC01074	long intergenic non-protein coding RNA 1074	Approved			13q21.31	BF057195	
HGNC:49118	LINC01075	long intergenic non-protein coding RNA 1075	Approved			13q21.31	AI028357	
HGNC:49119	LINC01076	long intergenic non-protein coding RNA 1076	Approved			13q12.13	BG190398	
HGNC:49120	LINC01077	long intergenic non-protein coding RNA 1077	Approved			13q14.2	AI769787	
HGNC:49121	LINC01078	long intergenic non-protein coding RNA 1078	Approved			13q22.2	AA442466	
HGNC:49122	LINC01079	long intergenic non-protein coding RNA 1079	Approved			13q12.2	BM503984	
HGNC:49123	LINC01080	long intergenic non-protein coding RNA 1080	Approved		TCONS_00021856	13q31.1	DA225206	NR_104138
HGNC:49598	LINC01198	long intergenic non-protein coding RNA 1198	Approved			13q14.13	BC046635	NR_120426
HGNC:49755	LINC01232	long intergenic non-protein coding RNA 1232	Approved		FLJ41590, TCONS_00021520	13q32.3	AK123584	
HGNC:50497	LINC01309	long intergenic non-protein coding RNA 1309	Approved		TCONS_l2_00007459	13q33.1	AA421210	
HGNC:50764	LINC01442	long intergenic non-protein coding RNA 1442	Approved			13q21.2	AK097816, AA393276	
HGNC:39278	LIPT1P1	lipoyltransferase 1 pseudogene 1	Approved			13q33.1		NG_021973
HGNC:6646	LMO7	LIM domain 7	Approved	FBXO20	FBX20, KIAA0858	13q22.2	AF092557	NM_005358
HGNC:50277	LMO7-AS1	LMO7 antisense RNA 1	Approved		UCHL3-AS1	13q22.2	AW188034	
HGNC:44370	LMO7DN	LMO7 downstream neighbor	Approved	C13orf45		13q22.2	AK092698	NM_001257995
HGNC:49790	LMO7DN-IT1	LMO7DN intronic transcript 1	Approved	C13orf45-IT1	TCONS_00021569	13q22.2	AI825938	
HGNC:20421	LNX2	ligand of numb-protein X 2	Approved	PDZRN1	MGC46315	13q12.2	AL138699	
HGNC:39829	LONRF2P2	LON peptidase N-terminal domain and ring finger 2 pseudogene 2	Approved			13q11		
HGNC:15520	LPAR6	lysophosphatidic acid receptor 6	Approved	P2RY5	P2Y5	13q14.2	AF000546	NM_005767
HGNC:20309	LRCH1	leucine rich repeats and calponin homology domain containing 1	Approved	CHDC1	KIAA1016	13q14.13-q14.2	AB023233	NM_015116
HGNC:34296	LRRC63	leucine rich repeat containing 63	Approved		RP11-139H14.4	13q14.13		XM_001718341
HGNC:39716	LSP1P1	lymphocyte-specific protein 1 pseudogene 1	Approved			13q12.13		NG_023189
HGNC:39790	LUC7L3P1	LUC7 like 3 pre-mRNA splicing factor pseudogene 1	Approved			13q21.33		
HGNC:6757	MAB21L1	mab-21 like 1	Approved		CAGR1	13q13.3	BC028170	NM_005584
HGNC:18977	MAPK6PS3	mitogen-activated protein kinase 6 pseudogene 3	Approved			13q14.11		NG_002453
HGNC:39803	MARK2P12	microtubule affinity regulating kinase 2 pseudogene 12	Approved			13q22.1		
HGNC:16746	MBNL2	muscleblind like splicing regulator 2	Approved		MBLL, MBLL39	13q32.1	AF061261	NM_144778
HGNC:6926	MBS1	Moebius syndrome 1	Approved	MBS		13q12.2		
HGNC:14576	MCF2L	MCF.2 cell line derived transforming sequence like	Approved		KIAA0362, DBS, OST, ARHGEF14	13q34	AB002360	
HGNC:39825	MCF2L-AS1	MCF2L antisense RNA 1	Approved			13q34		
